relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,monthlyTotalQcCnt,monthlyAvePcClkCnt,monthlyAveMobileClkCnt,monthlyAvePcCtr,monthlyAveMobileCtr,plAvgDepth,compIdx,sourceSeeds
이혼하는방법,880,650,1530,0.5,8.2,0.07,1.33,10,높음,재산분할 변호사
부산성범죄전문변호사,840,680,1520,1,1.4,0.14,0.22,10,높음,창원 성범죄 변호사
광주이혼변호사,550,970,1520,0.6,8.6,0.12,0.96,10,높음,창원 이혼 변호사
모욕죄벌금,160,1360,1520,0.5,26.2,0.32,2.03,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
진주변호사,600,910,1510,0.5,3.8,0.1,0.44,10,높음,창원 형사전문변호사 | 창원 형사 변호사 | 창원 변호사
허위사실명예훼손,290,1200,1490,1,9.8,0.36,0.87,10,높음,사이버 명예훼손 변호사 | 모욕죄 변호사
이혼후재산분할,1090,380,1470,0.1,3.8,0.02,1.13,10,높음,재산분할 변호사
남양주이혼전문변호사,1180,280,1460,0.1,3.6,0.01,1.66,10,높음,창원 이혼 변호사
이혼사유종류,870,590,1460,0.2,11.4,0.03,2.02,10,높음,재산분할 변호사
세종시변호사,260,1190,1450,0.9,5,0.38,0.47,10,높음,창원 변호사
이혼조정,820,610,1430,1.2,4.8,0.17,0.82,10,높음,재산분할 변호사
부산음주운전변호사,670,740,1410,0.2,11.8,0.04,1.6,10,높음,창원 음주운전 변호사
이혼조정신청,950,430,1380,0.7,5.2,0.09,1.31,10,높음,재산분할 변호사
인천강제추행변호사,910,460,1370,0.3,1.4,0.04,0.31,7,높음,창원 성범죄 변호사
울산이혼변호사,250,1090,1340,1.5,13.6,0.61,1.33,10,높음,창원 이혼 변호사 | 창원 변호사
양육비계산,870,470,1340,1.1,2.8,0.15,0.65,10,높음,재산분할 변호사
강요,300,1020,1320,0,0,0,0,0,낮음,모욕죄 변호사
교제폭력,390,930,1320,0.3,1.9,0.08,0.22,7,높음,모욕죄 변호사
안양변호사,510,800,1310,1.1,5.2,0.27,0.68,10,높음,창원 변호사
유책배우자재산분할,1100,160,1260,0.1,1.2,0.02,0.77,10,높음,재산분할 변호사
인천형사변호사,500,750,1250,1.1,2.2,0.24,0.3,10,높음,창원 형사전문변호사 | 창원 형사 변호사
춘천변호사,420,830,1250,1.9,11.6,0.51,1.45,10,높음,창원 변호사
소송이혼,870,370,1240,0,3.6,0,1.07,10,높음,재산분할 변호사
협의이혼시재산분할,880,350,1230,0.4,4.2,0.06,1.24,10,높음,재산분할 변호사
